gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
NLRP3,0.016199998336524357,9.499658312711926,0.3996611177667175,0.6899757855148984,0.825324305220497,-6.162149552891758
MAP2K2,0.019700021011922628,9.449498475827488,0.3996557882125355,0.6899797030088803,0.825324305220497,-6.112346390797458
C2,0.01842079320920562,9.432346663696704,0.3993927249795869,0.6901730783208704,0.825324305220497,-6.107850290518047
ASCL1,-0.016246932845303305,9.472305951254258,-0.39921113300952177,0.6903065767935119,0.825324305220497,-6.133385631771884
HSPA6,0.022270139775297584,9.525302486881877,0.3991580464844621,0.690345605523092,0.825324305220497,-6.155643790336708
COL4A5,-0.01331446267197728,9.547971039298508,-0.3983540609079586,0.6909367900159531,0.8254876385980071,-6.1700185648897055
KRT18,0.03647851011485064,9.60270647924089,0.39390006037316894,0.6942153344882326,0.8288593342739188,-6.19882917534601
IDO1,-0.01651317918571286,9.469285628758339,-0.391223290564717,0.6961884662492683,0.8306690241187066,-6.132914299636584
XRCC4,-0.016354886477992634,9.499363930646568,-0.3882272294303734,0.6983994230357211,0.8318673444491625,-6.157303608435984
HHIP,0.019471326364669035,9.491191329286693,0.3878858054057579,0.6986515429975382,0.8318673444491625,-6.137394173489727
DUSP1,0.017450636165406683,9.546438212749694,0.38717954972375007,0.6991731745198491,0.8318673444491625,-6.164972057638682
COX4I1,-0.022276195044435638,9.67063484084408,-0.386820152719182,0.6994386756995483,0.8318673444491625,-6.211103416828132
ITGB3,-0.017787972747601955,9.42449971407077,-0.3867599290044552,0.6994831690384754,0.8318673444491625,-6.100510513222745
SH2B2,-0.01664882313811087,9.6293040052019,-0.3838940977672175,0.7016016503232437,0.8338407048344311,-6.189338590136393
HPRT1,0.016539896497791657,9.480794422041638,0.38250920726474946,0.7026262312326514,0.8345122537073218,-6.142546580775389
RBX1,0.01714220146516717,9.471057317374068,0.3805971505666434,0.7040417214574073,0.8356469059912756,-6.134551126650426
JAK3,-0.0181520368684784,9.52679251827841,-0.37811685566377595,0.7058794202688841,0.8367455639568012,-6.169001534869094
MAPK8,-0.01556811711560376,9.518580072643223,-0.37810409572963477,0.7058888788446143,0.8367455639568012,-6.14336599523071
GBP1,-0.015020338147206371,9.448044187359077,-0.37408609214787936,0.7088695861817217,0.839730703526423,-6.138879159846621
TLR3,-0.018192676897244152,9.476974961632822,-0.3715393222648738,0.7107612141562549,0.8414226629124896,-6.121977949470945
TBK1,-0.01568181056507282,9.460341474723796,-0.3674137315334727,0.7138293376778635,0.8431668932749434,-6.139338234855936
CDK2,0.016376305616871242,9.489775201381365,0.3668281354539302,0.7142652147954034,0.8431668932749434,-6.152895743969298
PRDX5,-0.015923407006785836,9.613731104427794,-0.3666295245432292,0.7144130683810426,0.8431668932749434,-6.198719563966353
SIGLEC8,0.0154433467855812,9.471754615786443,0.3658019170505843,0.7150292876845643,0.8431668932749434,-6.146798135659604
CYBB,-0.01426687438189662,9.458336335721985,-0.3654685022276409,0.7152775944687895,0.8431668932749434,-6.142559320100526
CCL2,-0.01932356080169828,9.539037211860308,-0.36497223555575065,0.715647239614151,0.8431668932749434,-6.160021273993033
CD180,0.014891467645437912,9.497119504993922,0.36479991855156185,0.715775606008128,0.8431668932749434,-6.16290380828801
PLA1A,-0.017838546039898262,9.44799790975943,-0.36456720006281396,0.7159489809636359,0.8431668932749434,-6.109662942319154
MAML2,-0.01598027511081896,9.522780055397087,-0.3634891323096658,0.7167523328562067,0.8435659341975835,-6.155696699230313
CCRL2,0.018217579780261787,9.52711309334828,0.3624291770402516,0.7175424964925781,0.8439489466518924,-6.163883610513446
CACNA1D,-0.01547725584449884,9.551602711458601,-0.3596455111690269,0.7196190847264807,0.8457837469415357,-6.168148007579206
CFP,-0.016555669134294498,9.52677934079774,-0.35908970643246396,0.7200339607773205,0.8457837469415357,-6.183006354135459
LILRB3,0.027739624756941805,9.411491419291137,0.3582970722785194,0.7206257603367651,0.8459317264198871,-6.145469259609942
NGF,0.014524427244521118,9.494491867378311,0.3572489310652363,0.7214085871128519,0.846303613822312,-6.162588706926344
IFI6,0.02118647739139099,9.5560198876898,0.355474575677375,0.7227344742922648,0.8473116883891239,-6.172752525485837
PRDM1,-0.01661883981590721,9.527175086201419,-0.3541660949139348,0.7237127758783553,0.8475657570238849,-6.16042805592826
VTCN1,-0.016283971503410273,9.4585475797948,-0.35344790514434615,0.7242499331846888,0.8475657570238849,-6.134977734043691
MAGEB2,0.017190830064985715,9.480568675506722,0.3533123270468623,0.7243513518177694,0.8475657570238849,-6.155980645662653
PSEN1,-0.015369138099122099,9.528520865575322,-0.3526292355632288,0.7248624098667658,0.8476080540474085,-6.163844976241488
PIK3CG,0.016074055528714958,9.485347696410262,0.35201642944455336,0.7253209889810973,0.8476080540474085,-6.154401427980668
IRF5,0.03056169135624479,9.515122377417354,0.3511766967795621,0.7259495448455656,0.8477970247199661,-6.14406894529886
FANCF,0.01700273369638956,9.475585505866205,0.3503441973699931,0.726572870549492,0.8479796484048057,-6.1660128422164515
STC1,0.014967954307582477,9.48538665147762,0.34778064592810215,0.7284934514080551,0.8496750852646295,-6.157524587362944
SREBF1,0.014079572819619756,9.585339604921764,0.34288549772875465,0.7321656128020915,0.8529309292627177,-6.1964252395337
CTSG,-0.019760485787566957,9.50397127853563,-0.342807339948447,0.732224294449657,0.8529309292627177,-6.186660250895
CALML3,-0.0224507952918172,9.650649522100784,-0.3400535531466447,0.73429287250026265,0.854792215679793,-6.208513281296325
ACTR3B,0.021048158222416367,9.811670302698394,0.339335433086965,0.7348326279548285,0.8548725511633366,-6.313595685317202
CASP9,-0.015936088067768608,9.459788107333612,-0.33742460799752444,0.7362694915950445,0.8558288149823485,-6.131430841602979
RET,0.013146613668351544,9.632538714046287,0.3367555944306244,0.7367727834664021,0.8558288149823485,-6.215036187240715
ARID2,-0.01562558079635757,9.461682060944199,-0.3356559825261372,0.7376002576774486,0.8558288149823485,-6.133148106269298
ZNF205,-0.01771662592035122,9.447858443772107,-0.33514213079337823,0.7379870441025362,0.8558288149823485,-6.111628420706323
RORC,0.013130629980299523,9.632146778173887,0.33511034578819626,0.7380109715101089,0.8558288149823485,-6.223042194001685
MAPKAPK2,-0.016117483625824297,9.462767618311545,-0.32979942018535674,0.7420125622422359,0.8599201104223997,-6.136022867677337
RICTOR,0.01413087155825646,9.509922347288217,0.3286518554451853,0.7428781414661574,0.860140487403673,-6.18528502116341
FOXL2,-0.014449445435590099,9.494664681790866,-0.32829150358895703,0.7431500136213453,0.860140487403673,-6.155841540590175
PDCD1LG2,-0.013941173792438054,9.465393226704304,-0.323480328291152,0.7467829549152427,0.8637948064497329,-6.127277223148345
MCL1,-0.01571293430585648,9.537372830553421,-0.3219345517965622,0.7479513899386636,0.8642258940381486,-6.201779094363866
IL20RB,-0.015655278116488862,9.456808949147444,-0.3217281687171764,0.748107436909675,0.8642258940381486,-6.142364919009162
NOTCH1,0.014432159575477839,9.545963934880549,0.3204126693091663,0.749102335352213,0.864825073744195,-6.173124133507051
CDH1,0.013524963317991473,9.476559167993623,0.31936803365480554,0.7498926830235197,0.86518749197631,-6.170264898388276
CMTM4,-0.013614417068561573,9.465019257482176,-0.31707501284188694,0.7516284598597528,0.8666395448287689,-6.152476575400151
IL12RB1,-0.020833172771613808,9.577215327373072,-0.3150894624395657,0.753132513266455,0.8676058464536816,-6.190044058627026
ALCAM,-0.015217105194220563,9.416505579249453,-0.3147073957802753,0.7534220373664404,0.8676058464536816,-6.128747837051264
ATF2,-0.013077709589042526,9.477273668470652,-0.31290602370626563,0.7547875599721889,0.8679999110598116,-6.146706664135235
CASP12,0.015024964863058906,9.564610422675926,0.3127056764824008,0.7549394802877614,0.8679999110598116,-6.200077975130433
ITGB6,-0.014761917025229238,9.466251559855232,-0.3123645670670346,0.7551981605035806,0.8679999110598116,-6.152238087522305
SMC3,-0.013279224264072591,9.494122560988048,-0.31015118910992717,0.7568773474951629,0.8690253786459342,-6.190776655521385
ZBTB16,-0.014581244386184213,9.521830878022575,-0.309927072854826,0.7570474388864912,0.8690253786459342,-6.177005672959846
IL15RA,0.01574772571730877,9.484374722656053,0.3052908262598082,0.7605687391322933,0.8725160014303505,-6.157268110536162
EXO1,-0.012694612321261442,9.479836674680175,-0.3004513302481532,0.7642497619258551,0.8761853331170157,-6.16391677402705
NFATC2,-0.014124170403528305,9.487262299282524,-0.29630778545828923,0.7674057146148334,0.8792484402148502,-6.149414082453843
OTOA,0.014722323276047581,9.53802884638642,0.2949968063559829,0.7684050434255654,0.8798383094961078,-6.203400320986109
