gene_symbol,sample,norm_exp
C1QA,NMS22-13453,3.1874586743356215
C1QA,NMS22-28934,2.996152530275524
C1QA,NMS23-1947,2.9662121531616235
C1QA,NMS23-471,3.1953100502979073
C1QA,S08-25548,3.42327209469887
C1QA,S10-479,3.2679316653665373
C1QA,S14-11208,2.5777789366952244
C1QA,S14-9996,3.087728192185123
C1QA,S15-16380,2.7896723555508487
C1QA,S17-4703,2.9260026996005455
C1QA,S18-6943,3.231265648430266
C1QB,NMS22-13453,3.3673652405501
C1QB,NMS22-28934,3.0552062616257865
C1QB,NMS23-1947,3.180928319993991
C1QB,NMS23-471,3.3276551754444053
C1QB,S08-25548,3.6581297377097366
C1QB,S10-479,3.537565997596087
C1QB,S14-11208,2.682172162503082
C1QB,S14-9996,3.3130928115288008
C1QB,S15-16380,2.8791360369746344
C1QB,S17-4703,2.915863960322112
C1QB,S18-6943,3.3465837543337797
C2,NMS22-13453,2.3247761588164573
C2,NMS22-28934,2.0119508660593985
C2,NMS23-1947,2.3197512933763194
C2,NMS23-471,2.0151920417628344
C2,S08-25548,2.6097651056927424
C2,S10-479,2.6279902180298818
C2,S14-11208,1.9239172231131056
C2,S14-9996,2.385999284138969
C2,S15-16380,2.171726453653231
C2,S17-4703,2.077767490382057
C2,S18-6943,2.3710493812622695
C5,NMS22-13453,2.3684914294158106
C5,NMS22-28934,1.7798128631705805
C5,NMS23-1947,2.750747460992621
C5,NMS23-471,2.283142863303242
C5,S08-25548,2.7683420586445333
C5,S10-479,2.6279902180298818
C5,S14-11208,2.387283019481142
C5,S14-9996,2.6442021743929187
C5,S15-16380,2.6543209617036787
C5,S17-4703,2.3035416269488893
C5,S18-6943,2.5519864349958747
C5AR1,NMS22-13453,2.2404493989932983
C5AR1,NMS22-28934,1.511348515490213
C5AR1,NMS23-1947,2.519893592217336
C5AR1,NMS23-471,1.7961578769069144
C5AR1,S08-25548,2.7098124900681246
C5AR1,S10-479,2.9451927550292463
C5AR1,S14-11208,1.7822575736633017
C5AR1,S14-9996,2.805018040452304
C5AR1,S15-16380,1.9674543681827408
C5AR1,S17-4703,1.8811563210755637
C5AR1,S18-6943,2.199151571205089
C7,NMS22-13453,1.2762319579218335
C7,NMS22-28934,2.090434416175122
C7,NMS23-1947,1.793231447056521
C7,NMS23-471,2.3399480616943507
C7,S08-25548,2.943291665877545
C7,S10-479,2.800895706993072
C7,S14-11208,1.5276299008713388
C7,S14-9996,2.410490420003448
C7,S15-16380,1.4348881208673159
C7,S17-4703,1.8481891169913987
